compression_level,zlib_strategy,filter_choice,speedup_avg,size_increase_avg,speedup_worst,speedup_best,size_increase_worst,size_increase_best
0,Z_DEFAULT_STRATEGY,DISABLED,22.42,16.14,12.27,41.16,167.20,2.34
1,Z_DEFAULT_STRATEGY,DISABLED,6.31,1.32,3.16,10.15,2.18,0.85
1,Z_FIXED,DISABLED,6.36,1.51,3.28,10.13,2.88,0.96
1,Z_FILTERED,DISABLED,6.30,1.32,3.24,10.09,2.18,0.85
2,Z_FIXED,DISABLED,6.23,1.43,1.88,10.03,2.83,0.94
2,Z_FILTERED,DISABLED,6.18,1.27,3.09,9.97,2.03,0.84
2,Z_DEFAULT_STRATEGY,DISABLED,6.18,1.27,3.09,9.94,2.03,0.84
3,Z_FIXED,DISABLED,5.87,1.40,2.99,9.69,2.80,0.93
3,Z_DEFAULT_STRATEGY,DISABLED,5.83,1.24,2.94,9.67,2.00,0.83
3,Z_FILTERED,DISABLED,5.82,1.24,2.95,9.67,2.00,0.83
4,Z_RLE,DISABLED,4.12,5.25,2.36,7.22,28.06,0.95
6,Z_RLE,DISABLED,4.10,5.25,2.37,7.19,28.06,0.95
3,Z_RLE,DISABLED,4.13,5.25,2.36,7.19,28.06,0.95
5,Z_RLE,DISABLED,4.12,5.25,2.35,7.19,28.06,0.95
2,Z_RLE,DISABLED,4.14,5.25,2.35,7.17,28.06,0.95
1,Z_RLE,DISABLED,4.14,5.25,2.36,7.16,28.06,0.95
5,Z_HUFFMAN_ONLY,DISABLED,2.98,6.62,1.83,5.51,33.88,1.30
4,Z_HUFFMAN_ONLY,DISABLED,2.99,6.62,1.83,5.49,33.88,1.30
2,Z_HUFFMAN_ONLY,DISABLED,2.99,6.62,1.84,5.48,33.88,1.30
1,Z_HUFFMAN_ONLY,DISABLED,2.99,6.62,1.82,5.47,33.88,1.30
3,Z_HUFFMAN_ONLY,DISABLED,2.99,6.62,1.84,5.45,33.88,1.30
6,Z_HUFFMAN_ONLY,DISABLED,2.98,6.62,1.84,5.35,33.88,1.30
4,Z_FIXED,DISABLED,3.74,1.32,2.53,5.29,2.60,0.88
4,Z_DEFAULT_STRATEGY,DISABLED,3.71,1.14,2.37,5.28,1.80,0.76
4,Z_FILTERED,DISABLED,3.48,1.24,2.25,5.04,1.89,0.82
5,Z_FIXED,DISABLED,3.31,1.24,2.15,4.67,2.10,0.78
5,Z_DEFAULT_STRATEGY,DISABLED,3.29,1.09,2.12,4.65,1.66,0.68
5,Z_FILTERED,DISABLED,3.17,1.19,2.04,4.56,1.88,0.74
6,Z_FILTERED,DISABLED,2.41,1.14,1.31,3.74,1.87,0.69
6,Z_DEFAULT_STRATEGY,DISABLED,2.48,1.04,1.32,3.74,1.65,0.64
6,Z_FIXED,DISABLED,2.49,1.18,1.32,3.73,1.97,0.71
6,Z_HUFFMAN_ONLY,ALL,1.37,2.71,0.83,2.57,21.25,1.10
3,Z_HUFFMAN_ONLY,ALL,1.38,2.71,0.82,2.56,21.25,1.10
1,Z_RLE,ALL,1.68,1.21,1.20,2.55,1.88,0.95
6,Z_RLE,ALL,1.68,1.21,1.26,2.55,1.88,0.95
5,Z_RLE,ALL,1.68,1.21,1.25,2.55,1.88,0.95
4,Z_HUFFMAN_ONLY,ALL,1.38,2.71,0.83,2.55,21.25,1.10
2,Z_RLE,ALL,1.68,1.21,1.26,2.55,1.88,0.95
3,Z_RLE,ALL,1.68,1.21,1.26,2.55,1.88,0.95
4,Z_RLE,ALL,1.68,1.21,1.25,2.55,1.88,0.95
5,Z_HUFFMAN_ONLY,ALL,1.38,2.71,0.82,2.54,21.25,1.10
1,Z_DEFAULT_STRATEGY,ALL,1.63,1.27,1.23,2.53,2.23,0.84
1,Z_FILTERED,ALL,1.63,1.27,1.24,2.52,2.23,0.84
1,Z_FIXED,ALL,1.64,1.46,1.24,2.52,3.03,0.99
2,Z_HUFFMAN_ONLY,ALL,1.38,2.71,0.83,2.52,21.25,1.10
1,Z_HUFFMAN_ONLY,ALL,1.38,2.71,0.83,2.48,21.25,1.10
2,Z_FILTERED,ALL,1.60,1.22,1.23,2.39,2.21,0.83
2,Z_DEFAULT_STRATEGY,ALL,1.60,1.22,1.17,2.38,2.21,0.83
2,Z_FIXED,ALL,1.60,1.39,1.24,2.38,2.89,0.97
4,Z_FIXED,ALL,1.38,1.25,1.02,2.02,2.34,0.94
4,Z_DEFAULT_STRATEGY,ALL,1.38,1.08,1.04,2.00,1.73,0.81
3,Z_DEFAULT_STRATEGY,ALL,1.50,1.16,1.23,1.95,1.90,0.81
3,Z_FILTERED,ALL,1.50,1.16,1.23,1.95,1.90,0.81
3,Z_FIXED,ALL,1.50,1.30,1.21,1.95,2.66,0.95
4,Z_FILTERED,ALL,1.33,1.10,1.04,1.88,1.74,1.00
5,Z_FIXED,ALL,1.25,1.19,1.04,1.59,2.00,0.93
5,Z_DEFAULT_STRATEGY,ALL,1.25,1.04,1.04,1.59,1.46,0.81
5,Z_FILTERED,ALL,1.23,1.05,1.03,1.54,1.48,0.99
6,Z_DEFAULT_STRATEGY,ALL,1.02,0.98,0.95,1.14,1.06,0.80
6,Z_FIXED,ALL,1.01,1.11,0.89,1.12,1.86,0.91
6,Z_FILTERED,ALL,1.00,1.00,1.00,1.00,1.00,1.00
